Round,Pick,Value,Tm,Year
1,1,3000,Las Vegas Raiders,2026
1,2,2600,New York Jets,2026
1,3,2200,Arizona Cardinals,2026
1,4,1800,Tennessee Titans,2026
1,5,1700,New York Giants,2026
1,6,1600,Cleveland Browns,2026
1,7,1500,Washington Commanders,2026
1,8,1400,New Orleans Saints,2026
1,9,1350,Kansas City Chiefs,2026
1,10,1300,Cincinnati Bengals,2026
1,11,1250,Miami Dolphins,2026
1,12,1200,Dallas Cowboys,2026
1,13,1150,Los Angeles Rams,2026
1,14,1100,Las Vegas Raiders,2026
1,15,1050,Tampa Bay Buccaneers,2026
1,16,1000,New York Jets,2026
1,17,950,Detroit Lions,2026
1,18,900,Minnesota Vikings,2026
1,19,875,Carolina Panthers,2026
1,20,850,Dallas Cowboys,2026
1,21,800,Pittsburgh Steelers,2026
1,22,780,Los Angeles Chargers,2026
1,23,760,Philadelphia Eagles,2026
1,24,740,Cleveland Browns,2026
1,25,720,Chicago Bears,2026
1,26,700,Buffalo Bills,2026
1,27,680,San Francisco 49ers,2026
1,28,660,Houston Texans,2026
1,29,640,Kansas City Chiefs,2026
1,30,620,Denver Broncos,2026
1,31,600,New England Patriots,2026
1,32,590,Seattle Seahawks,2026
2,33,580,New York Jets,2026
2,34,560,Arizona Cardinals,2026
2,35,550,Tennessee Titans,2026
2,36,540,Las Vegas Raiders,2026
2,37,530,New York Giants,2026
2,38,520,Houston Texans,2026
2,39,510,Cleveland Browns,2026
2,40,500,Kansas City Chiefs,2026
2,41,490,Cincinnati Bengals,2026
2,42,480,New Orleans Saints,2026
2,43,470,Miami Dolphins,2026
2,44,460,New York Jets,2026
2,45,450,Baltimore Ravens,2026
2,46,440,Tampa Bay Buccaneers,2026
2,47,430,Indianapolis Colts,2026
2,48,420,Atlanta Falcons,2026
2,49,410,Minnesota Vikings,2026
2,50,400,Detroit Lions,2026
2,51,390,Carolina Panthers,2026
2,52,380,Green Bay Packers,2026
2,53,370,Pittsburgh Steelers,2026
2,54,360,Philadelphia Eagles,2026
2,55,350,Los Angeles Chargers,2026
2,56,340,Jacksonville Jaguars,2026
2,57,330,Chicago Bears,2026
2,58,320,San Francisco 49ers,2026
2,59,310,Houston Texans,2026
2,60,300,Chicago Bears,2026
2,61,292,Los Angeles Rams,2026
2,62,284,Denver Broncos,2026
2,63,276,New England Patriots,2026
2,64,270,Seattle Seahawks,2026
3,65,265,Arizona Cardinals,2026
3,66,260,Tennessee Titans,2026
3,67,255,Las Vegas Raiders,2026
3,68,250,Philadelphia Eagles,2026
3,69,245,Houston Texans,2026
3,70,240,Cleveland Browns,2026
3,71,235,Washington Commanders,2026
3,72,230,Cincinnati Bengals,2026
3,73,225,New Orleans Saints,2026
3,74,220,Kansas City Chiefs,2026
3,75,215,Miami Dolphins,2026
3,76,210,Pittsburgh Steelers,2026
3,77,205,Tampa Bay Buccaneers,2026
3,78,200,Indianapolis Colts,2026
3,79,195,Atlanta Falcons,2026
3,80,190,Baltimore Ravens,2026
3,81,185,Jacksonville Jaguars,2026
