Year,0,1,2,3,4,5,6,7,8,9,10+
2006,$275000,$350000,$425000,$500000,$585000,$585000,$585000,$710000,$710000,$710000,$810000
2007,$285000,$360000,$435000,$510000,$595000,$595000,$595000,$720000,$720000,$720000,$820000
2008,$295000,$370000,$445000,$520000,$605000,$605000,$605000,$730000,$730000,$730000,$830000
2009,$310000,$385000,$460000,$535000,$620000,$620000,$620000,$745000,$745000,$745000,$845000
2010,$325000,$400000,$475000,$550000,$635000,$635000,$635000,$760000,$760000,$760000,$860000
2011,$340000,$415000,$490000,$565000,$650000,$650000,$650000,$775000,$775000,$775000,$875000
2012,$355000,$430000,$505000,$580000,$665000,$665000,$665000,$790000,$790000,$790000,$890000
2013,$405000,$480000,$555000,$630000,$715000,$715000,$715000,$840000,$840000,$840000,$940000
2014,$420000,$495000,$570000,$645000,$730000,$730000,$730000,$855000,$855000,$855000,$955000
2015,$435000,$510000,$585000,$660000,$745000,$745000,$745000,$870000,$870000,$870000,$970000
2016,$450000,$525000,$600000,$675000,$760000,$760000,$760000,$885000,$885000,$885000,$985000
2017,$465000,$540000,$615000,$690000,$775000,$775000,$775000,$900000,$900000,$900000,$1000000
2018,$480000,$555000,$630000,$705000,$790000,$790000,$790000,$915000,$915000,$915000,$1015000
2019,$495000,$570000,$645000,$720000,$805000,$805000,$805000,$930000,$930000,$930000,$1030000
2020,$610000,$675000,$750000,$825000,$910000,$910000,$910000,$1050000,$1050000,$1050000,$1050000
2021,$660000,$780000,$850000,$920000,$990000,$990000,$990000,$1075000,$1075000,$1075000,$1075000
2022,$705000,$825000,$895000,$965000,$1035000,$1035000,$1035000,$1120000,$1120000,$1120000,$1120000
2023,$750000,$870000,$940000,$1010000,$1080000,$1080000,$1080000,$1165000,$1165000,$1165000,$1165000
2024,$795000,$915000,$985000,$1055000,$1125000,$1125000,$1125000,$1210000,$1210000,$1210000,$1210000
2025,$840000,$960000,$1030000,$1100000,$1170000,$1170000,$1170000,$1255000,$1255000,$1255000,$1255000
2026,$885000,$1005000,$1075000,$1145000,$1215000,$1215000,$1215000,$1300000,$1300000,$1300000,$1300000
2027,$930000,$1050000,$1120000,$1190000,$1260000,$1260000,$1260000,$1345000,$1345000,$1345000,$1345000
2028,$975000,$1095000,$1165000,$1235000,$1305000,$1305000,$1305000,$1390000,$1390000,$1390000,$1390000
2029,$1020000,$1140000,$1210000,$1280000,$1350000,$1350000,$1350000,$1435000,$1435000,$1435000,$1435000
2030,$1065000,$1185000,$1255000,$1325000,$1395000,$1395000,$1395000,$1480000,$1480000,$1480000,$1480000
