Pick,count,null_count,mean,std,min,25%,50%,75%,max
1,83,0,24.93975903614458,16.685285906896738,0.0,10.0,24.0,38.0,63.0
2,63,0,27.682539682539684,15.306361103154925,0.0,17.0,29.0,38.5,68.0
3,58,0,27.17241379310345,13.494817629123974,2.0,18.25,27.0,36.75,57.0
4,56,0,28.410714285714285,12.546316787610015,4.0,17.75,27.0,33.5,59.0
5,56,0,28.339285714285715,13.663856484388804,3.0,18.75,28.0,35.5,62.0
6,56,0,25.589285714285715,12.976589810766274,2.0,16.75,23.0,36.25,56.0
7,55,0,22.545454545454547,13.46850672497413,1.0,11.5,22.0,31.5,55.0
8,55,0,25.29090909090909,12.209093040105513,0.0,17.0,24.0,32.5,51.0
9,56,0,24.928571428571427,12.713424748318953,1.0,16.0,23.0,30.25,56.0
10,55,0,25.0,12.659354614642062,3.0,17.5,25.0,30.5,62.0
11,56,0,24.178571428571427,14.470166353076742,3.0,13.75,23.0,29.5,69.0
12,56,0,24.160714285714285,13.779796522728194,4.0,14.5,22.5,30.25,64.0
13,55,0,25.10909090909091,11.635948014463033,3.0,17.0,26.0,29.0,59.0
14,56,0,20.714285714285715,12.473556445120629,1.0,12.0,18.5,27.0,54.0
15,56,0,19.535714285714285,10.30792155350664,1.0,10.0,22.0,25.0,43.0
16,56,0,20.660714285714285,12.01253403849388,2.0,11.0,18.0,26.5,53.0
17,56,0,21.375,13.125357137998188,0.0,12.75,19.0,28.5,66.0
18,56,0,19.803571428571427,9.675497906581331,4.0,12.75,21.0,26.0,49.0
19,56,0,21.321428571428573,10.420446933107732,2.0,14.0,22.0,28.25,43.0
20,56,0,20.410714285714285,9.821639903275337,2.0,13.75,19.5,28.25,44.0
21,56,0,19.875,10.663553049352906,1.0,12.75,20.0,26.0,61.0
22,56,0,17.910714285714285,10.116191855749754,1.0,10.75,19.0,23.0,49.0
23,54,0,20.0,8.264495555837202,6.0,14.0,20.0,24.75,44.0
24,56,0,19.553571428571427,12.35522656112074,0.0,9.0,19.5,28.75,50.0
25,55,0,18.963636363636365,10.194340543879193,0.0,13.0,19.0,25.0,49.0
26,55,0,17.0,11.297328428864482,0.0,8.5,16.0,23.0,50.0
27,56,0,19.196428571428573,12.270318426418863,1.0,10.0,17.0,26.0,65.0
28,56,0,17.017857142857142,10.771158579412763,0.0,8.0,16.0,23.0,43.0
29,56,0,16.660714285714285,11.448345312297771,0.0,8.75,14.5,24.0,46.0
30,55,0,18.836363636363636,13.189170131369478,0.0,7.5,19.0,28.0,50.0
31,53,0,15.39622641509434,10.589072056826955,0.0,7.0,14.0,22.0,45.0
32,56,0,16.678571428571427,13.648985500571284,0.0,6.75,16.0,21.5,62.0
33,54,0,17.64814814814815,11.318972897278982,0.0,8.25,17.5,25.75,42.0
34,55,0,18.8,9.588573446594685,1.0,11.5,18.0,24.0,49.0
35,55,0,17.01818181818182,10.151611638317283,0.0,8.0,17.0,23.0,48.0
36,55,0,20.01818181818182,11.514066934569097,2.0,12.5,20.0,25.5,59.0
37,52,0,18.403846153846153,11.341853110310822,0.0,8.75,19.0,26.75,44.0
38,56,0,15.142857142857142,9.883739762271754,0.0,8.0,14.0,22.0,43.0
